ID,Mnemonic,GenusSpecies
316,ACACAU,Acacia auriculiformis
80,ACROFR,Acrocarpus fraxinifolius
305,ACROPE,Acronychia pedunculata
1,ACTIAN,Actinodaphne angustifolia
2,ADININ,Adinandra integerrima
3,AGLAED,Aglaia edulis
4,AGLAEL,Aglaia elaeagnoidea
5,AGLALA,Aglaia lawii
219,AGLASP,Aglaia spectabilis
7,AIDIDE,Aidia densiflora
8,AILATR,Ailanthus triphysa
9,ALANCH,Alangium chinense
10,ALBIAT,Albizia attopeuensis
321,ALCHPE,Alchonechia pedunculata
11,ALCHRU,Alchornea rugosa
12,ALCHTI,Alchornea tiliifolia
211,ALLOCO,Allophyllus cobbe
13,ALPHBO,Alphonsea boniana
14,ALSTSC,Alstonia scholaris
15,ALTIEX,Altingia excelsa
311,ANNEFR,Anneslea fragrans
16,ANTHCH,Anthocephalus chinensis
250,ANTIJA,Antidesma japonicum
18,ANTIMO,Antidesma montanum
210,ANTISO,Antidesma sootepense
17,ANTITO,Antiaris toxicaria
252,ANTIVE,Antidesma velutinum
20,APHACU,Aphananthe cuspidata
19,APHAPO,Aphanamixis polystachya
21,APODDI,Apodytes dimidiata
22,APOROC,Aporosa octandra var. octandra
339,APORSP,Aporosa sp.
23,APORYU,Aporosa octandra var. Yunnanensis
24,AQUICR,Aquilaria crassna
245,ARCHCL,Archidendron clypearia
25,ARCHLU,Archidendron lucidum
297,ARDICR,Ardisia crenata
230,ARDIFU,Ardisia fulva
27,ARDINE,Ardisia nervosa
277,ARDIQU,Ardisia quinguegona
26,ARDISA,Ardisia sanguinolenta
213,ARECTR,Areca triandra
237,ARTOHE,Artocarpus heterophyllus
335,ARTOLA,Artocarpus lakoocha
28,ARTONI,Artocarpus nitidus
29,BACCRA,Baccaurea ramiflora
30,BALABA,Balakata baccata
31,BEILAF,Beilschmiedia aff. intermedia
32,BEILGL,Beilschmiedia glauca
33,BEILMA,Beilschmiedia maingayi
34,BHESRO,Bhesa robusta
340,BISCJA,Bischofia javanica
317,BONENA,Bone
264,BRIDGL,Bridelia glauca
35,BRIDIN,Bridelia insulana
319,BRIDTO,Bridelia tomentosa
36,BUCHAR,Buchanania arborescens
259,CALLLO,Callicarpa longifolia
37,CALODR,Calophyllum dryobalanoides
265,CALOPO,Calophyllum polyanthum
272,CALOSA,Calophyllum saigonenese
39,CAMEOL,Camellia oleifera
40,CANAEU,Canarium euphyllum
217,CANTCO,Canthium coffeoides
41,CANTGL,Canthium glabrum
42,CARABR,Carallia brachiata
268,CARPLO,Carpinus londoniana
267,CARYMI,Caryota mitis
44,CASEGR,Casearia grewiifolia
336,CASSBA,Cassia bakeriana
45,CASTAC,Castanopsis acuminatissima
46,CELTTE,Celtis tetrandra
47,CHAECA,Chaetocarpus castanocarpus
313,CHIOMI,Chionanthus microstigma
49,CHIORA,Chionanthus ramiflorus
50,CHISCU,Chisocheton cumingianus
51,CHISDY,Chisocheton dysoxylifolius
53,CHOEAX,Choerospondias axillaris
54,CHUKTA,Chukrasia tabularis
55,CINNIL,Cinnamomum ilicioides
56,CINNIN,Cinnamomum iners
57,CINNSP,Cinnamomum sp.
58,CINNSU,Cinnamomum subavenium
287,CITRAU,Citrus aurantium
59,CLAOIN,Claoxylon indicum
215,CLAUEX,Clausena excavata
233,CLAUHA,Clausena harmandiana
331,CLAUSP,Clausena sp.
202,CLERGA,Clerodendrum garrettianum
295,CLERPA,Clerodendrum paniculatum
333,CLERPA,Clerodendrum paniculatum
61,CRATCO,Cratoxylum cochinchinense
62,CRYPPA,Crypteronia paniculata
63,DALBCO,Dalbergia cochinchinensis
309,DALBSP,Dalbergia sp.
64,DAPHBE,Daphniphyllum beddomei
65,DASYAC,Dasymaschalon acuminatum
66,DECAPA,Decaspermum parviflorum
328,DELORE,Delonix regia
67,DENDST,Dendrocnide stimulans
338,DILLSP,Dillenia sp.
69,DIOSGL,Diospyros glandulosa
70,DIPTGR,Dipterocarpus gracilis
71,DRACEL,Dracaena elliptica
72,DUABGR,Duabanga grandiflora
